"","Time","PAR_q","height"
"1",0,79.4461131162,"mid"
"2",0.01,71.9353324067,"mid"
"3",0.02,69.4457762293,"mid"
"4",0.03,72.4846433371,"mid"
"5",0.04,85.1144239467,"mid"
"6",0.05,84.5998349187,"mid"
"7",0.06,79.0145927197,"mid"
"8",0.07,75.2235656404,"mid"
"9",0.08,67.166765318,"mid"
"10",0.09,63.9637841178,"mid"
"11",0.1,62.4523785838,"mid"
"12",0.11,62.3203158364,"mid"
"13",0.12,61.6526923843,"mid"
"14",0.13,61.4266267594,"mid"
"15",0.14,62.1400892023,"mid"
"16",0.15,64.3183822775,"mid"
"17",0.16,66.9053407978,"mid"
"18",0.17,70.1369100501,"mid"
"19",0.18,74.4874090393,"mid"
"20",0.19,81.1869491356,"mid"
"21",0.2,90.9058451723,"mid"
"22",0.21,100.0140959744,"mid"
"23",0.22,103.2573103866,"mid"
"24",0.23,102.1851431602,"mid"
"25",0.24,91.8423962432,"mid"
"26",0.25,78.9120430982,"mid"
"27",0.26,68.9365557822,"mid"
"28",0.27,64.0061319158,"mid"
"29",0.28,62.500746807,"mid"
"30",0.29,65.5420742286,"mid"
"31",0.3,69.9028034979,"mid"
"32",0.31,70.9657604878,"mid"
"33",0.32,72.4223193049,"mid"
"34",0.33,70.9060985839,"mid"
"35",0.34,69.9806984376,"mid"
"36",0.35,65.7988891543,"mid"
"37",0.36,65.7659031135,"mid"
"38",0.37,73.9978069375,"mid"
"39",0.38,83.9783758878,"mid"
"40",0.39,101.4314633897,"mid"
"41",0.4,119.8491118021,"mid"
"42",0.41,129.4204055435,"mid"
"43",0.42,133.0242067059,"mid"
"44",0.43,132.0532788915,"mid"
"45",0.44,130.7176225858,"mid"
"46",0.45,129.7240610101,"mid"
"47",0.46,118.0373351452,"mid"
"48",0.47,110.1469553165,"mid"
"49",0.48,100.8950379082,"mid"
"50",0.49,89.00663441,"mid"
"51",0.5,78.9704209507,"mid"
"52",0.51,75.2858139055,"mid"
"53",0.52,74.5132788987,"mid"
"54",0.53,79.8310631913,"mid"
"55",0.54,82.265530532,"mid"
"56",0.55,82.7957299835,"mid"
"57",0.56,85.0397951042,"mid"
"58",0.57,90.5688356635,"mid"
"59",0.58,92.2153483937,"mid"
"60",0.59,92.8992024324,"mid"
"61",0.6,95.0022701163,"mid"
"62",0.61,98.5655736295,"mid"
"63",0.62,100.2183363489,"mid"
"64",0.63,96.8255431419,"mid"
